num,name,district,Province Project,province,type,lat,long,gender,startDateName,startDate,status,bricks,houses,schools,co2,jobs_prod,job_constr,jobs,Last updated,description
74,Construction of 3 schools in Jyamrung,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.97427496,84.88799934,Male,2017,2017,Project,28000,,3,84.84,,,0,01.09.20,"Reconstruction of schools together with Hope for smile for Jyamrung, Dhading with CSEB interlocking bricks"
75,Reconstruction of the Alachie Kedar school in Lamjung,Lamjung,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.28954955,84.35549236,Male,2017,2017,Project,18000,,1,54.54,,,0,01.09.20,Reconstruction of school destroyed by the earthquake with CSEB interlocking bricks. 
76,Raleigh International - Gyalchowk,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.88512687,84.58944697,Male,Apr.16,01.04.16,Project,22500,9,,68.175,,,0,01.09.20,We worked with Raleigh international to reconstruct houses in 3 villages for vulnerable families following the 2015 earthquake
77,Raleigh International - Adhikarigaun,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.98024248,84.62492246,Male,Apr.16,01.04.16,Project,22500,9,,68.175,,,0,01.09.20,We worked with Raleigh international to reconstruct houses in 3 villages for vulnerable families following the 2015 earthquake
78,Raleigh International Chap,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.9941126,84.63805456,Male,Apr.16,01.04.16,Project,25000,10,,75.75,,,0,01.09.20,We worked with Raleigh international to reconstruct houses in 3 villages for vulnerable families following the 2015 earthquake.
79,Shangri-La Development association,Makwanpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.5629686,84.9297206,Male,2016,2016,Project,16000,8,,48.48,,,0,01.09.20,
80,Oxfam Integrated settlement Baguwa,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.0284883,84.7158823,Male,2017,2017,Running,245000,98,,742.35,,,0,01.09.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
81,Oxfam integrated settlement Kumalgaun,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.94930186,84.8140201,Male,2017,2017,Project,50000,20,,151.5,,,0,01.09.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
82,Oxfam rebuilding for poor families Thuladurlung,Lalitpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.4442594,85.3911146,Male,2017,2017,Project,12500,5,,37.875,,,0,01.09.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
83,Oxfam integrated settlement Thakle,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.83154997,85.58050233,Male,2017,2017,Project,50000,45,,151.5,,,0,01.09.20,Integrated settlement for displaced families for Oxfam in Nepal
84,Oxfam integrated settlement Ramati,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9438495,85.3891787,Male,2017,2017,Project,187500,75,,568.125,,,0,01.09.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
85,Oxfam rebuilding for vulnerable families Gyalchowk,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.2015328,84.7065739,Male,2017,2017,Project,12500,5,,37.875,,,0,01.09.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
86,OXFAM Integrated settlement in Nigalpani,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.96984702,84.909378,Male,2017,2017,Project,25000,10,,75.75,,,0,01.09.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
87,Oxfam & Lumanti rebuiling for poor families,Bhaktapur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.67346108,85.42637795,Male,2017,2017,Project,16500,5,,49.995,,,0,01.09.20,Working as technical partner for OXFAM and Lumanti for reconstruction of a poor community in Sojhe
88,Oxfam integrated settlement in Melamchi,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.8335234,85.58427888,Male,2017,2017,Project,87500,35,,265.125,,,0,01.09.20,"We worked as technical partner for Oxfams integrated settlement in Sindupalchowk, Melamchi"
89,Oxfam integrated settlement in Helambu,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,28.02481508,85.55504274,Male,2017,2017,Project,112500,45,,340.875,,,0,01.09.20,Integrated settlement for displaced families for Oxfam in Nepal
90,Low-cost housing for Thokarpa - Local government & Caritas,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.67808737,85.79285627,Male,2017,2017,Project,310000,120,,939.3,6,6,12,01.09.20,We have been working in Thokarpa together with the local government and Caritas to build low-cost CSEB housing after the earthquake.
91,CSEB School construction - Survivors,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.68044363,85.7862473,Male,2017,2017,Project,45000,,1,136.35,,,0,01.09.20,
92,Reconstruction of houses for vulnerable families in Lele - Samaritans Purse,Lalitpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.5710764,85.3291291,Male,2017,2017,Project,12500,6,,37.875,,,0,01.09.20,"We worked together with Samaritans Purse to rebuild houses for marginalized families in Lele, Lalitpur."
93,Oxfam integrated settlement Kharanitar,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9302604,85.3110368,Male,2017,2017,Project,162500,65,,492.375,,,0,01.09.20,Build up Nepal was responsible for CSEB production in Oxfams integrated settlement in Nuwakot. 
94,Amar Bahadur Dangi,Kathmandu,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6215,85.2618987,Male,Jun.18,01.06.18,Closed / Sold,7000,3,,21.21,,1,1,26.02.21,Amar Bdr Dangi works in the construction field and was looking to build a Ayurvedic Healing center for his son who was returning from India after completing his degree. He started a CSEB business and made the healing center as the first demonstration building in the area. 
95,Amir Kusi,Bhaktapur,Province 3 - Bagmati,Bagmati Province,Youth Entrepreneur,27.6763685,85.4372112,Male,Jun.19,01.06.19,Running,50000,20,,151.5,4,12,16,27.02.21,Amir Khusi and his three friends (all youths) started this after getting orientation from Build Up Nepal staffs in one of the training sessions for technical staffs. Amir immediately contacted our office to start this business and quit his job to focus on promoting this technology in urban and sub urban areas of Kathmandu and Bhaktapur.
96,Anil Ranabhat,Kaski,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.1659325,84.2173403,Male,Aug.18,01.08.18,Running,70000,28,,212.1,11,8,19,04.03.21,
97,Bishnu Kumar Gupta,Siraha,Province 2,Province No. 2,Entrepreneur,26.7297141,86.4794359,Male,Sep.19,01.09.19,Running,7800,3,,23.634,6,3,9,25.02.21,"Bishnu Kumar after retiring as a Health assistant started his medicine shop and soon expanded to start his own CSEB production. Bishnu is also involved in politics and plans to contest in the upcoming elections in 2021, but makes his living from the enterprise."
98,Buddhi Kumar Tamang,Bara,Province 2,Province No. 2,Entrepreneur,27.1352908,84.9685028,Male,Dec.19,01.12.19,Struggling,7000,3,,21.21,7,2,9,25.02.21,"Buddhi was a construction worker for almost 15 years before partnering with his neighbor to start this enterprise. The plan was that Buddhi will look into the core business (production and construction) and his Partner will bring him clients. Things was going well at first but then his partner left and and Buddhi was left stranded, and not sure if he is able to run the enterprise on his own or if he needs to sell it."
99,China Kumari Magrati,Gorkha,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,27.8742317,84.6531437,Female,Jan.18,01.01.18,Running,65000,26,,196.95,4,7,11,25.02.21,China Kumari Magrati belongs to a disadvantage community and decided to start their CSEB enterpiset as the demand for bricks were huge following the earthquake. China and her Husband decided to partner a local radio host with good marketing skills and flurished helping the community come out of the temporary shelter and into their affordable houses
100,Dadhiraj Pudasaini,Makwanpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.5939232,85.1605979,Male,Aug.18,01.08.18,Running,315000,126,,954.45,5,40,45,26.02.21,"Dadhiraj Pudasaini, a teacher by profession partnered with two of his friends to start a agro business but because of unfavourable conditions, had to shut their business. With the same group, they invested in Interlocking bricks and within 6 months returned their investment and added second machine. After a year into production, they added a third machine and are doing really well. His partner who was a alcoholic also says that this business actually saved him from goinng into drinking oblivion and his progress should be taken as an example by others.<br />
"
101,Dal Bahadur Buda,Rolpa,Province 5,Lumbini Province,Entrepreneur,28.3815621,82.6483442,Male,Mar.19,01.03.19,Running,21000,8,3,63.63,9,5,14,22.02.21,Dal Bahadur Buda was working in the construction field for almost 14 years before investing in this business and is planning to involve both his son and daughter in the business in the coming days to support him in marketing and production
102,Deepak Hamal,Makwanpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6441006,85.0701001,Male,Apr.19,01.04.19,Running,300000,120,,909,12,52,64,25.02.21,Deepak was our first commercial entrepreneur and one of the really early adopters of CSEB. He is a driven entrepreneur and have expanded with several machines as well as one hydraulic production unit. Deepak is president of the Interlocking Brick Association in Nepal and have been able to make CSEB very popular in his area. 
103,Devaki & Pradip Bhatta,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.90587241,85.14591182,Male,Aug.17,01.08.17,Running,400000,160,,1212,6,35,41,01.03.21,"Devaki used to be a housewife and also working in her farm. She started the business together with her son, Pradip. They started this business to develop their financial as well as help locals to get low cost building materials."
104,Dil Kumar Rai,Bhojpur,Province 1,Province No. 1,Entrepreneur,27.3432738,87.0923906,Male,Mar.19,01.03.19,Struggling,15000,6,3,45.45,,4,4,21.02.21,
105,Dinesh Dahal,Morang,Province 1,Province No. 1,Youth Entrepreneur,26.66579162,87.61018204,Male,Dec.18,01.12.18,Running,300000,120,,909,8,42,50,21.02.21,"Dinesh was working as a trainer after returning from Israel. After learning about our work tthrough YouTube, Dinesh contacted us with a dream to establish something of his own. His family is now running a CSEB enterprise as well as farming."
106,Dipak Bhandari,Morang,Province 1,Province No. 1,Entrepreneur,26.6648712,87.6137011,Male,Apr.19,01.04.19,Running,25000,10,,75.75,4,7,11,01.03.21,"Dipak Bhandari was running a bio sand filter factory and since the work was very less, he was exploring more options to expand his factory and CSEB interlocking bricks seemed like a good opportunity for him to diversify. He is now operating both enterprises."
107,Gagan Bahadur Khadka,Jajarkot,Province 6 - Karnali,Karnali Province,Entrepreneur,28.8651497,82.1713632,Male,May.18,01.05.18,Closed / Sold,30000,12,1,90.9,0,4,4,22.02.21,
108,Ganesh Subedi,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.610155,84.5906053,Male,Jul.19,01.07.19,Running,47000,19,,142.41,10,9,19,04.03.21,"Ganesh Subedi, a block factor owner visited one of the community meetings arranged by Build up Nepal and was really impressed by the technology. Since he was already a construction factory owner, it was very easy decision for him to add a machine as he had the infrastructure and the team of labours ready. He did really well in the beginning but slowly started focusing more on his core business to rent out the excavators and other constructon machinaries. He has shut down his CSEB production due to COVID and lack of raw materials and has not been able to recover yet."
109,Ganesh Bahadur Tamang,Lamjung,Province 4 - Gandaki,Gandaki Province,DAG - Disadvantaged Groups,28.1962471,84.3857442,Male,Sep.19,01.09.19,Running,35000,14,,106.05,6,8,14,26.02.21,"Ganesh returned from the foreign employment after 17 years. He and his family first invested in a hotel which did not return the investment, so he expanded to other areas. This is a family run enterprise, where the production is taken care by the wife, and marketing is done by both the brothers. "
110,Gyanesh Dhami,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.98803108,80.16123719,Male,Mar.19,01.03.19,Running,35000,14,1,106.05,4,6,10,21.02.21,"Gyanesh Dhami, a sub engineer by profession learned about CSEB from his friends and decided to start this business and have done really well. Gyanesh still works as a government engineer and he gets help from his family to do this business."
111,Hari Bahadur BK,Dhading,Province 3 - Bagmati,Bagmati Province,Entrepreneur,28.0184016,84.8420339,Male,Jan.19,01.01.19,Struggling,30000,12,,90.9,4,6,10,01.03.21,
112,Hem Bahadur Gurung,Tanahu,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.04293475,84.07320099,Male,Aug.18,01.08.18,Running,265000,106,22,802.95,6,39,45,25.02.21,"Hem Gurung came to Build up Nepal with his friend who dragged him from Tanahun. After one year, when he saw his friends business flourishing he contacted us again and got a machine. After initially struggling a lot with marketing, he won a big contract to supply bricks for 22 earthquake damaged schools with help of Build Up Nepal. Since then he has scaled up with another machine and is very well respected member in the contractor association and the secretary of the Interlocking Brick association, Province 4. <br />
"
113,Jeevan Devkota,Sindhuli,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.1961191,85.899783,Male,Aug.18,01.08.18,Running,250000,100,,757.5,7,31,38,25.02.21,"Jeevan Devkota was enrolled in the Maoist army when he was just 16 and after almost 10 years of bloody rivalry, the armed struggle was ended and the process of reintegration into the society for these fighters began. After 10 year of reintegration process Jeevan partnered with some of his comrades, bought a Hydraulic machine and started a CSEB business. Jeevan runs the day to day operations and has done really well in a very short time.<br />
"
114,Khuraj Chaulagain,Kathmandu,Province 3 - Bagmati,Bagmati Province,Returning Migrant,27.76840014,85.36074687,Male,Mar.20,01.03.20,Running,15000,6,,45.45,4,9,13,27.02.21,Khurraj Chaulagain is a very promising young entrepreneur. After returning from abroad he established his factory in Kathmandu because of the wide market. Khurraj has been able to expand to new areas in Kathmandu within a very short time and has been able to breaking even within 4 months of setting up and starting his production unit.
115,Ghanashyam Joshi,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Returning Migrant,28.68946053,80.61317959,Male,Jul.19,01.07.19,Running,40000,16,,121.2,7,8,15,21.02.21,"Ghanshyam Returned from Korea and came to know about this business through his friends. He has done really well and with his marketing skills have been able to capture good market in Kailali area. He has also taken a lead in forming of the CSEB interlocking brick association in Province 7<br />
"
116,"Manju, Saraswati and Subhadra",Tanahu,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,27.9819198,84.2805478,Female,Jun.20,01.06.20,Running,48000,19,,145.44,4,17,21,26.02.21,"Manju, Saraswati and Subhadra are from the same village in Tanahun and run a women cooperative. They decided to invest their profit in the interlocking brick business. All of them are working in the enterprise and hired two more people to help with more intensive labor. Apart from that, they have their women cooperative staffs who are working as active sales agent for their enterprises."
117,Manoj Thapa,Lalitpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6493323,85.3058664,Male,Apr.18,01.04.18,Running,70000,28,,212.1,4,8,12,25.02.21,Manoj Thapa learned about CSEB from a friend who used to work in Practical Action as a partner to Build up Nepal. He decided to focus on commercial Kathmandu and setup a hydraulic CSEB factory in the outskirts of Kathmandu. He has been doing impressive work and built several large city homes until date.
118,Maya Tamang,Chitwan,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.67404184,84.446981,Female,Dec.19,01.12.19,Closed / Sold,11500,5,,34.845,4,7,11,26.02.21,Maya Tamang is young and smart women entrepreneur with a background in farming. She has invested in CSEB interlocking bricks because she believes this is the best construction material to build low-cost houses and has a great market.
119,Karna Bahadur Tamang,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,28.003504,85.1337915,Male,Aug.17,01.08.17,Running,100000,40,,303,3,9,12,01.03.21,"Karna used to work as contractor in his municipality. he started CSEB factory with the support of Practical Action to help reconstruction of houses affected by earthquake at low cost. After completion of the most of the houses in his locality, he shifted his machine to city area where he is planning to add new machine."
120,Menuka Chaudhary,Nawalparasi,Province 5,Lumbini Province,Husband wife,27.5290526,83.6720756,Male & Female,Apr.19,01.04.19,Struggling,20000,8,,60.6,6,4,10,25.02.21,"Menuka, 27 is a young women entrepreneur whose focus was to make her own house and decided to start the business as she saw an opportunity to start a business in her own backyard and make living out of it. Menuka runs this business full time and her husband who is a lawyer also supports her in book keeping and purchasing. They have a small son and therefor Menuka is very happy to be able to run a business nearby her own home. "
121,Milan BK,Banke,Province 5,Lumbini Province,DAG - Disadvantaged Groups,28.0451082,81.9554091,Male,Jun.18,01.06.18,Running,74300,25,,225.129,8,14,22,01.03.21,
122,Nakha Bahadur Dhungana,Kavrepalanchok,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6277005,85.5380467,Male,Mar.19,01.03.19,Running,33000,13,,99.99,6,6,12,25.02.21,"Nakha was running a block factory where he was visited by a Build Up Nepal representative. He decided to add CSEB to his existing business. Nakha is very focused on quality of bricks and is running his business with both CSEB and hollow concrete blocks. <br />
"
123,Paras and Jayraj Wod/ Mukesh BK,Bajura,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.3651358,81.3305171,Male,Oct.19,01.10.19,Struggling,35000,14,,106.05,,8,8,21.02.21,"Paras was working as a marketing associate in India and Mukesh was working as a social mobiliser in an NGO in Kailali. Both of them partnered to start this business and with the support from Build Up Nepal, they flourished and were able to do really well. They say that they were able to return their investment in less than 5 months."
124,Pramila Shrestha,Myagdi,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,28.3660431,83.53797023,Female,Jun.19,01.06.19,Running,80000,32,,242.4,6,15,21,22.02.21,Pramila wanted to start a small scale factory with low investment and thought CSEB had a big potential in her area. She is a very independent woman who have been able to achieve much in a short time. 
125,Prem Singh Dhami,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.69287874,80.61794166,Male,Nov.19,01.11.19,Running,55000,22,,166.65,5,21,26,23.02.21,"Prem Singh Dhami was working as a farmer. He came to know about this business from a friend and after consulting his son and wife, started this business in partnership. Later the partnership broke and Prem is now running the enterprise on his own. "
126,Raj Kumar Nepali,Dang Deokhuri,Province 5,Lumbini Province,Entrepreneur,27.7582627,82.5294065,Male,Jul.20,01.07.20,Running,15000,6,,45.45,4,9,13,03.03.21,"Raj Kumar33 year old Raj Kumar Nepali is young entrepreneur. He started hollow block factory in Gadhawa bazar 7 years ago. He found CSEB technology which is expanding rapidly in Western part of Nepal. During his research, he found CSEB technology is environment friendly, affordable, earthquake resistance, easy workability, durability and decided to expand his existing business into CSEB.  Nepali is young entrepreneur. He started hollow block factory in Gadhawa bazar before 7 years. He wants to expand his business which will relate to construction work, so he starts to work out on new business ideas.  Finally, he found CSEB technology which is expanding rapidly in Western part of Nepal. During her research, he found CSEB technology is environment friendly, affordable, earthquake resistance, easy workability, durability and so on.<br />
"
127,Raj Kumar Thing,Makwanpur,Province 3 - Bagmati,Bagmati Province,Returning Migrant,27.33352274,85.20283128,Male,Sep.19,01.09.19,Running,90000,36,,272.7,7,19,26,27.02.21,Youth from Janajati community who wanted to start his own enterprise. He was working in Malaysia and contacted us from there with a plan to start his own enterprise. He planned everything from Malaysia itself and started immediately once he returned. Raj is planning to call back his brother as well to make him run the business and start this in more locations.
128,Ram Krishna Baskota,Dhading,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.7534852,85.2162641,Male,Oct.18,01.10.18,Running,18000,7,,54.54,1,3,4,01.03.21,
129,Ravi Pratap Yadav,Rupandehi,Province 2,Province No. 2,Entrepreneur,27.6865838,83.4322634,Male,Dec.19,01.12.19,Running,13000,5,,39.39,6,4,10,23.02.21,"Ravi found out about CSEB from the socia media and decided to expand his already running construction business. After initially doing well in Butwal, Ravi wants to add another machine in his village in Dang."
130,Ravi Shankar Prasad,Bara,Province 2,Province No. 2,Youth Entrepreneur,27.15728708,84.97948913,Male,Nov.19,01.11.19,Running,8000,3,,24.24,,2,2,25.02.21,Ravi Shankar Prasad after graduating from the UK came back and took a job with a NGO in kathmandu before returing back to his hometown after his  father had a heart surgery to look after his family business of petrol pump and rice mill. He has expanded CSEB enterprise as he wanted to run a construction enterprise. Ravi's wife is a Dental surgeon and helps him in his business from time to time especially when he is out of town.
131,Ruken Maharjan,Lalitpur,Province 3 - Bagmati,Bagmati Province,Youth Entrepreneur,27.6388413,85.3420486,Male,Aug.19,01.08.19,Struggling,13000,5,,39.39,0,3,3,27.02.21,Ruken Maharjan and three others started this after finding more about CSEB on varous social media groups. All of them were new in the business with no one working prior to this. Unfortunatly the partners do not share a common goal to take the company forward and they have decided to split up or sell the company.
132,Saraswoti BK,Dhading,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.79112662,84.81391431,Female,Nov.18,01.11.18,Running,63000,35,,190.89,7,7,14,01.03.21,"Saraswati and her husband Amrit started this business after the demand for CSEB in the area hiked up and an NGO decided to make 45 houses for the most vulnerable using CSEB. Taking advantage of the market conditions, They invested in the business and got good returns. Amrit is responsible for marketing and Saraswati is looking after the operations. "
133,Kailash Rai/ Sarita Rai,Khotang,Province 1,Province No. 1,Husband wife,26.91,86.88,Male & Female,Nov.19,01.11.19,Closed / Sold,8000,3,,24.24,,2,2,24.02.21,"Kailash did very big Investment but strength of the produced bricks were not good, so he decided to take those bricks and give them as donation into various structures. He did not contact Build up Nepal about the problems and decided to close his enterprise. "
134,Shankar Kumar Shrestha,Nawalparasi,Province 5,Lumbini Province,Entrepreneur,27.5403988,83.7942551,Male,Dec.19,01.12.19,Running,35000,14,1,106.05,6,11,17,26.02.21,"Shankar was already running hollow concrete block factory that he started in 2009 after returning from foreign employment. Since he had the infrastructure and the labor team ready, it was an easy decision for to start producing CSEB as well. His wife is a housewife and his son and daughter are still in school but the daughter does the book keeping for the business after school.<br />
"
135,Sukra Karki,Baglung,Province 4 - Gandaki,Gandaki Province,Returning Migrant,28.216667,83.416667,Male,Dec.18,01.12.18,Running,150000,60,,454.5,12,22,34,25.02.21,"Sukra Karki, a migrant returnee decided to buy a Hydraulic CSEB machine after consulting his uncle from Pokhara who was already running a CSEB business. "
136,Sukra Khadka,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.66963781,84.43614387,Male,Jan.19,01.01.19,Struggling,25000,6,,75.75,6,6,12,25.02.21,
137,Suman Thapa,Dolakha,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6693233,86.0427626,Male,Apr.18,01.04.18,Running,250000,100,,757.5,5,27,32,27.02.21,"Suman, an engineer by education but a businessman by profession runs a block factory and a hotel in Charikot. After buying a CSEB machine, he and his team have now shifted their focus mainly in CSEB construction after generating a very good demand in the area. Suman and Build up Nepal have managed to get district rates approved in his area from the local government. "
138,Ganga Rai / Surya Prasad Pokharel,Ilam,Province 1,Province No. 1,Entrepreneur,26.9332484,87.8255007,Male,Nov.18,01.11.18,Running,35000,14,1,106.05,4,6,10,24.02.21,"Ganga Rai was inspired after seeing interviews with other CSEB entrepreneurs online. He started this enterprise and in addition to his furniture business and is doing very well. ""This technology is Environment friendly, local employment opportunities can be created, with seeing this benefit the Municipality office also gave some support to the enterprise""<br />
"
139,Sushila Thapa,Surkhet,Province 6 - Karnali,Karnali Province,Female Entrepreneur,28.7916921,81.387844,Female,Oct.20,01.10.20,Running,120000,48,10,363.6,8,49,57,24.02.21,"Sushila lives in a low income area and fired bricks are Expensive, Previously houses are built of woods now there is lack of wood. So she decided that CSEB bricks can be best technology for building houses in her location. She started this business with the goal to build a stable income for herself and her family. "
140,Nabin Darai,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.4129236,84.375233,Male,May.19,01.05.19,Running,25000,10,2,75.75,5,5,10,26.02.21,"Nabin Darai, a young entrepreneur who was abroad for 5 years before returning and starting this business with his father Prem Darai. Like most father son duo, Prem looks after the production and Nabin does the marketing for the enterprise. Nabin also works in a chicken feed factory as a sales officer, so has to travel a lot and he combines his sales skills to market his bricks at the same time. They have a hydraulic machine and a well-designed factory with PAN mixer, and conveyor belt and can produce very efficiently. "
141,Tanu Maya & Simon Tamang,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.9726433,85.1012477,Male,Dec.17,01.12.17,Running,200000,80,,606,9,19,28,01.03.21,"Simon is a regular contractor working in construction work. After the earthquake, with unavailability and increased prices of Fired Bricks, he started CSEB factory as an alternative material. he got supported from Practical Action at beginning to establish his factory and has been he is doing well since the very beginning."
142,Yam Bahadur Rokka,Dang Deokhuri,Province 5,Lumbini Province,Entrepreneur,28.0587625,82.4861053,Male,May.19,01.05.19,Struggling,25000,10,,75.75,,4,4,24.02.21,"Yam Bahadur Rokka is running a clothing shop and after seeing our videos on Facebook got inspired to start a CSEB enterprise. He says that he wants to do something new, that can also create employment opportunities in his area."
143,Parbat Rana,Gorkha,Province 4 - Gandaki,Gandaki Province,DAG - Disadvantaged Groups,27.987822,84.62286253,Male,Dec.17,01.12.17,Closed / Sold,78000,31,,236.34,,8,8,24.02.21,
144,Khem Bahadur Gurung,Gorkha,Province 4 - Gandaki,Gandaki Province,Returning Migrant,28.05061794,84.81092495,Male,Apr.18,01.04.18,Closed / Sold,7080,3,,21.4524,0,1,1,24.02.21,"Khem came back from foreign employment and started this enterprise. After just 5 months, he decided to go back to Qatar and handed the enterprise to a youth group in the village. However this group have not been serious about the business. "
145,Ishwori Lamsal,Dhading,Province 3 - Bagmati,Bagmati Province,Returning Migrant,27.98041476,84.8859394,Male,Dec.17,01.12.17,Closed / Sold,39000,16,3,118.17,0,5,5,28.02.21,Ishwori is a construction contractor. He got interested in CSEB technology due to the low cost. His enterprise was doing well during the reconstruction and built several schools but since his village was rebuild he stopped construction.
146,Pancharaj Gurung,Kaski,Province 4 - Gandaki,Gandaki Province,Youth Entrepreneur,28.2121547,83.98694069,Male,Jun.17,01.06.17,Struggling,45000,18,,136.35,0,4,4,24.02.21,Pancharaj Gurung and his Brother started running this and did very well in the beginning. Pancha was responsible for the marketing and Hem was running the operations.  However after Pancha's wife got a job in France and he wet abroad and Hem decided to open a bakery and have sold the CSEB enterprise. 
147,Ram KC,Rukum,Province 5,Lumbini Province,Entrepreneur,28.59808146,82.55928665,Male,Feb.18,01.02.18,Closed / Sold,30000,12,3,90.9,0,4,4,22.02.21,Ram KC was a social worker who invested in the business in the hope that production can be done using local resources creating local job opportunities. His enterprise was severely flooded and he was unable to recover and is now closed.
148,Deepak Adai,Baglung,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.3319009,83.1602101,Male,Dec.17,01.12.17,Closed / Sold,20000,8,,60.6,,2,2,25.02.21,Deepak was already working in construction sector and decided to add this machine to start his own enterprise. 
149,Pradeep Khakurel,Ramechhap,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.3885665,86.0631561,Male,Dec.17,01.12.17,Closed / Sold,40000,16,,121.2,,4,4,24.02.21,Pradip is an engineer working in construction field. He learned about this technology after the massive earthquake and started working to rebuild his village. 
150,Binod Pahari,Kavrepalanchok,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6410024,85.7096704,Male,Mar.18,01.03.18,Running,40000,16,,121.2,8,4,12,26.02.21,Binod was working in construction and got an opportunity to rebuild a whole village with eco-friendly bricks. He is a driven entrepreneur and good as seizing new opportunities. Now that the first village is rebuilt he has moved the machine to another location.
151,Pramod Joshi,Makwanpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6270943,85.0856761,Male,May.19,01.05.19,Running,9800,4,,29.694,0,2,2,03.03.21,
152,Nishant Malla,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.7576172,84.4737018,Male,Nov.19,01.11.19,Running,10200,4,,30.906,0,2,2,04.03.21,
153,Narayan Acharya,Lalitpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.60369223,85.37010242,Male,Jun.18,01.06.18,Running,4500,2,,13.635,1,1,2,04.03.21,
154,Niruta Dudhraj B.K.,Dhading,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.79173406,84.80232717,Female,Feb.18,01.02.18,Struggling,60000,24,,181.8,6,6,12,01.03.21,Niruta is a dynamic women entrepreneur with a background in agriculture. She started CSEB enterprise in 2018 with a view to support her husband who was working in Dubai at the time. She and her partner Amrit did very well to supply to the demand of reconstruction in her village. Now after reconstruction demand is a bit less and they are running the enterprise part time 
