name,district,Province Project,province,type,lat,long,gender,startDate,Start Date,startYear,peakImpYear,status,bricks,houses,2016,2017,2018,2019,2020,2021,Schools,co2,jobsProduction,jobsConstruction,jobs,Last updated,Description
Rebuilding houses in Kot Danda,Lalitpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.6225452,85.3778243,Male,2017,2017,2017,2018,Project,45000,8,,,8,,,,,136.35,,,0,09.01.20,"Above Godavari, overlooking the Katmandu valley, lies Kot Danda. A very hospitable & welcoming village where we are working as training partner to rebuild houses in traditional architecture. 8 houses are under construction and we see scope for many more CSEB houses to come up in Kot Danda soon."
Reconstruction of school and houses for most vulnerable families,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.0126184,84.49899275,Male,2016,2016,2016,2017,Project,28000,6,,6,,,,,1,84.84,,,0,09.01.20,Together with Ausnepal & Volvo u-fonden we rebuilt the village school in Mulabari and houses for the most vulnerabe families in the village. 
Construction of community hall in Kalleri,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.82331617,84.99945051,Male,2016,2016,2016,2017,Project,9000,2,,2,,,,,,27.27,,,0,09.01.20,"One of our first projects construction of a community hall in Kalleri which also servers as a model building for CSEB interlocking bricks. <br />
This project resulted in that a local entrepreneur - Arjun Katiwada started his CSEB enterprise in Kalleri. "
Construction of hospital & community Library,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.68569332,85.76531937,Male,2017,2017,2017,2018,Project,38000,15.2,,,15.2,,,,,115.14,,,0,09.01.20,"Construction of Community Library & Hospital in Thokarpa togeter with the local government & Sweden Nepal Society. <br />
"
Rebuilding Majhigaun,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.82896926,85.56711275,Male,2015,2015,2015,2016,Project,220000,88,44,44,,,,,,666.6,,,0,09.01.20,In Majhigaun we are working with Community driven reconstruction. The villagers are building their own homes with Earth Bricks.  We have supported 88 poor families in Majhigaun to rebuild their own homes.
Construction of School and Healthpost in Jyamrung,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.98587206,84.88259201,Male,2015,2015,2015,2016,Project,52000,1,1,,,,,,1,157.56,,,0,09.01.20,Construction of the village school with 11 classrooms and a healthpost with living quater together with Tuki Nepal Society Sweden. 
Construction of 3 schools in Jyamrung,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.97427496,84.88799934,Male,2017,2017,2017,2018,Project,28000,11.2,,,11.2,,,,3,84.84,,,0,09.01.20,"Reconstruction of schools together with Hope for smile for Jyamrung, Dhading with CSEB interlocking bricks"
Reconstruction of the Alachie Kedar school in Lamjung,Lamjung,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.28954955,84.35549236,Male,2017,2017,2017,2018,Project,18000,7.2,,,7.2,,,,1,54.54,,,0,09.01.20,Reconstruction of school destroyed by the earthquake with CSEB interlocking bricks. 
Raleigh International - Gyalchowk,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.88512687,84.58944697,Male,Apr.16,01.04.16,2016,2017,Project,22500,9,,9,,,,,,68.175,,,0,09.01.20,We worked with Raleigh international to reconstruct houses in 3 villages for vulnerable families following the 2015 earthquake
Raleigh International - Adhikarigaun,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.98024248,84.62492246,Male,Apr.16,01.04.16,2016,2017,Project,22500,9,,9,,,,,,68.175,,,0,09.01.20,We worked with Raleigh international to reconstruct houses in 3 villages for vulnerable families following the 2015 earthquake
Raleigh International Chap,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,27.9941126,84.63805456,Male,Apr.16,01.04.16,2016,2017,Project,25000,10,,10,,,,,,75.75,,,0,09.01.20,We worked with Raleigh international to reconstruct houses in 3 villages for vulnerable families following the 2015 earthquake.
Shangri-La Development association,Makwanpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.5629686,84.9297206,Male,2016,2016,2016,2017,Project,16000,8,,8,,,,,,48.48,,,0,09.01.20,
Oxfam Integrated settlement Baguwa,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.0284883,84.7158823,Male,2017,2017,2017,2018,Running,245000,98,,,24.5,24.5,24.5,24.5,,742.35,,,0,09.01.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
Oxfam integrated settlement Kumalgaun,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.94930186,84.8140201,Male,2017,2017,2017,2018,Project,50000,20,,,20,,,,,151.5,,,0,09.01.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
Oxfam rebuilding for poor families Thuladurlung,Lalitpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.4442594,85.3911146,Male,2017,2017,2017,2018,Project,12500,5,,,5,,,,,37.875,,,0,09.01.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
Oxfam integrated settlement Thakle,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.83154997,85.58050233,Male,2017,2017,2017,2018,Project,50000,45,,,45,,,,,151.5,,,0,09.01.20,Integrated settlement for displaced families for Oxfam in Nepal
Oxfam integrated settlement Ramati,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9438495,85.3891787,Male,2017,2017,2017,2018,Project,187500,75,,,75,,,,,568.125,,,0,09.01.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
Oxfam rebuilding for vulnerable families Gyalchowk,Gorkha,Province 4 - Gandaki,Gandaki Province,INGO/NGO project,28.2015328,84.7065739,Male,2017,2017,2017,2018,Project,12500,5,,,5,,,,,37.875,,,0,09.01.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
OXFAM Integrated settlement in Nigalpani,Dhading,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.96984702,84.909378,Male,2017,2017,2017,2018,Project,25000,10,,,10,,,,,75.75,,,0,09.01.20,Working as technical partner for OXFAM to rebuild houses for displaced families after the 2015 earthquake.
Oxfam & Lumanti rebuiling for poor families,Bhaktapur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.67346108,85.42637795,Male,2017,2017,2017,2018,Project,16500,5,,,5,,,,,49.995,,,0,09.01.20,Working as technical partner for OXFAM and Lumanti for reconstruction of a poor community in Sojhe
Oxfam integrated settlement in Melamchi,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.8335234,85.58427888,Male,2017,2017,2017,2018,Project,87500,35,,,35,,,,,265.125,,,0,09.01.20,"We worked as technical partner for Oxfams integrated settlement in Sindupalchowk, Melamchi"
Oxfam integrated settlement in Helambu,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,28.02481508,85.55504274,Male,2017,2017,2017,2018,Project,112500,45,,,45,,,,,340.875,,,0,09.01.20,Integrated settlement for displaced families for Oxfam in Nepal
Low-cost housing for Thokarpa - Local government & Caritas,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.67808737,85.79285627,Male,2017,2017,2017,2018,Project,310000,120,,,120,,,,,939.3,6,6,12,09.01.20,We have been working in Thokarpa together with the local government and Caritas to build low-cost CSEB housing after the earthquake.
CSEB School construction - Survivors,Sindhupalchok,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.68044363,85.7862473,Male,2017,2017,2017,2018,Project,45000,18,,,18,,,,1,136.35,,,0,09.01.20,
Reconstruction of houses for vulnerable families in Lele - Samaritans Purse,Lalitpur,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.5710764,85.3291291,Male,2017,2017,2017,2018,Project,12500,6,,,6,,,,,37.875,,,0,09.01.20,"We worked together with Samaritans Purse to rebuild houses for marginalized families in Lele, Lalitpur."
Oxfam integrated settlement Kharanitar,Nuwakot,Province 3 - Bagmati,Bagmati Province,INGO/NGO project,27.9302604,85.3110368,Male,2017,2017,2017,2018,Project,162500,65,,,65,,,,,492.375,,,0,09.01.20,Build up Nepal was responsible for CSEB production in Oxfams integrated settlement in Nuwakot. 
Amar Bahadur Dangi,Kathmandu,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6215,85.2618987,Male,Jun.18,01.06.18,2018,2019,Closed / Sold,7000,3,,,,3,,,,21.21,,1,1,2/26/2021,Amar Bdr Dangi works in the construction field and was looking to build a Ayurvedic Healing center for his son who was returning from India after completing his degree. He started a CSEB business and made the healing center as the first demonstration building in the area. 
Amir Kusi,Bhaktapur,Province 3 - Bagmati,Bagmati Province,Youth Entrepreneur,27.6763685,85.4372112,Male,Jun.19,01.06.19,2019,2020,Running,50000,20,,,,,10,10,,151.5,4,12,16,2/27/2021,Amir Khusi and his three friends (all youths) started this after getting orientation from Build Up Nepal staffs in one of the training sessions for technical staffs. Amir immediately contacted our office to start this business and quit his job to focus on promoting this technology in urban and sub urban areas of Kathmandu and Bhaktapur.
Anil Ranabhat,Kaski,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.1659325,84.2173403,Male,Aug.18,01.08.18,2018,2019,Running,70000,28,,,,9,9,9,,212.1,11,8,19,03.04.21,
Bishnu Kumar Gupta,Siraha,Province 2,Madhesh Province,Entrepreneur,26.7297141,86.4794359,Male,Sep.19,01.09.19,2019,2020,Running,7800,3,,,,,1.5,1.5,,23.634,6,3,9,2/25/2021,"Bishnu Kumar after retiring as a Health assistant started his medicine shop and soon expanded to start his own CSEB production. Bishnu is also involved in politics and plans to contest in the upcoming elections in 2021, but makes his living from the enterprise."
Buddhi Kumar Tamang,Bara,Province 2,Madhesh Province,Entrepreneur,27.1352908,84.9685028,Male,Dec.19,01.12.19,2019,2020,Struggling,7000,3,,,,,1.5,1.5,,21.21,7,2,9,2/25/2021,"Buddhi was a construction worker for almost 15 years before partnering with his neighbor to start this enterprise. The plan was that Buddhi will look into the core business (production and construction) and his Partner will bring him clients. Things was going well at first but then his partner left and and Buddhi was left stranded, and not sure if he is able to run the enterprise on his own or if he needs to sell it."
China Kumari Magrati,Gorkha,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,27.8742317,84.6531437,Female,Jan.18,01.01.18,2018,2019,Running,65000,26,,,,9,9,9,,196.95,4,7,11,2/25/2021,China Kumari Magrati belongs to a disadvantage community and decided to start their CSEB enterpiset as the demand for bricks were huge following the earthquake. China and her Husband decided to partner a local radio host with good marketing skills and flurished helping the community come out of the temporary shelter and into their affordable houses
Dadhiraj Pudasaini,Makwanpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.5939232,85.1605979,Male,Aug.18,01.08.18,2018,2019,Running,315000,126,,,,32,32,63,,954.45,5,40,45,2/26/2021,"Dadhiraj Pudasaini, a teacher by profession partnered with two of his friends to start a agro business but because of unfavourable conditions, had to shut their business. With the same group, they invested in Interlocking bricks and within 6 months returned their investment and added second machine. After a year into production, they added a third machine and are doing really well. His partner who was a alcoholic also says that this business actually saved him from goinng into drinking oblivion and his progress should be taken as an example by others.<br />
"
Dal Bahadur Buda,Rolpa,Province 5,Lumbini Province,Entrepreneur,28.3815621,82.6483442,Male,Mar.19,01.03.19,2019,2020,Running,21000,8,,,,,4,4,3,63.63,9,5,14,2/22/2021,Dal Bahadur Buda was working in the construction field for almost 14 years before investing in this business and is planning to involve both his son and daughter in the business in the coming days to support him in marketing and production
Deepak Hamal,Makwanpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6441006,85.0701001,Male,Apr.19,01.04.19,2019,2020,Running,300000,120,,,,,60,60,,909,12,52,64,2/25/2021,Deepak was our first commercial entrepreneur and one of the really early adopters of CSEB. He is a driven entrepreneur and have expanded with several machines as well as one hydraulic production unit. Deepak is president of the Interlocking Brick Association in Nepal and have been able to make CSEB very popular in his area. 
Devaki & Pradip Bhatta,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.90587241,85.14591182,Male,Aug.17,01.08.17,2017,2018,Running,400000,160,,,40,40,40,40,,1212,6,35,41,03.01.21,"Devaki used to be a housewife and also working in her farm. She started the business together with her son, Pradip. They started this business to develop their financial as well as help locals to get low cost building materials."
Dil Kumar Rai,Bhojpur,Province 1,Province No. 1,Entrepreneur,27.3432738,87.0923906,Male,Mar.19,01.03.19,2019,2020,Struggling,15000,6,,,,,3,3,3,45.45,,4,4,2/21/2021,
Dinesh Dahal,Morang,Province 1,Province No. 1,Youth Entrepreneur,26.66579162,87.61018204,Male,Dec.18,01.12.18,2018,2019,Running,300000,120,,,,30,30,60,,909,8,42,50,2/21/2021,"Dinesh was working as a trainer after returning from Israel. After learning about our work tthrough YouTube, Dinesh contacted us with a dream to establish something of his own. His family is now running a CSEB enterprise as well as farming."
Dipak Bhandari,Morang,Province 1,Province No. 1,Entrepreneur,26.6648712,87.6137011,Male,Apr.19,01.04.19,2019,2020,Running,25000,10,,,,,5,5,,75.75,4,7,11,03.01.21,"Dipak Bhandari was running a bio sand filter factory and since the work was very less, he was exploring more options to expand his factory and CSEB interlocking bricks seemed like a good opportunity for him to diversify. He is now operating both enterprises."
Gagan Bahadur Khadka,Jajarkot,Province 6 - Karnali,Karnali Province,Entrepreneur,28.8651497,82.1713632,Male,May.18,01.05.18,2018,2019,Closed / Sold,30000,12,,,,12,,,1,90.9,0,4,4,2/22/2021,
Ganesh Subedi,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.610155,84.5906053,Male,Jul.19,01.07.19,2019,2020,Running,47000,19,,,,,9.5,9.5,,142.41,10,9,19,03.04.21,"Ganesh Subedi, a block factor owner visited one of the community meetings arranged by Build up Nepal and was really impressed by the technology. Since he was already a construction factory owner, it was very easy decision for him to add a machine as he had the infrastructure and the team of labours ready. He did really well in the beginning but slowly started focusing more on his core business to rent out the excavators and other constructon machinaries. He has shut down his CSEB production due to COVID and lack of raw materials and has not been able to recover yet."
Ganesh Bahadur Tamang,Lamjung,Province 4 - Gandaki,Gandaki Province,DAG - Disadvantaged Groups,28.1962471,84.3857442,Male,Sep.19,01.09.19,2019,2020,Running,35000,14,,,,,7,7,,106.05,6,8,14,2/26/2021,"Ganesh returned from the foreign employment after 17 years. He and his family first invested in a hotel which did not return the investment, so he expanded to other areas. This is a family run enterprise, where the production is taken care by the wife, and marketing is done by both the brothers. "
Gyanesh Dhami,Kanchanpur,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.98803108,80.16123719,Male,Mar.19,01.03.19,2019,2020,Running,35000,14,,,,,7,7,1,106.05,4,6,10,2/21/2021,"Gyanesh Dhami, a sub engineer by profession learned about CSEB from his friends and decided to start this business and have done really well. Gyanesh still works as a government engineer and he gets help from his family to do this business."
Hari Bahadur BK,Dhading,Province 3 - Bagmati,Bagmati Province,Entrepreneur,28.0184016,84.8420339,Male,Jan.19,01.01.19,2019,2020,Struggling,30000,12,,,,,6,6,,90.9,4,6,10,03.01.21,
Hem Bahadur Gurung,Tanahu,Province 4 - Gandaki,Gandaki Province,Entrepreneur,28.04293475,84.07320099,Male,Aug.18,01.08.18,2018,2019,Running,265000,106,,,,35,35,35,22,802.95,6,39,45,2/25/2021,"Hem Gurung came to Build up Nepal with his friend who dragged him from Tanahun. After one year, when he saw his friends business flourishing he contacted us again and got a machine. After initially struggling a lot with marketing, he won a big contract to supply bricks for 22 earthquake damaged schools with help of Build Up Nepal. Since then he has scaled up with another machine and is very well respected member in the contractor association and the secretary of the Interlocking Brick association, Province 4. <br />
"
Jeevan Devkota,Sindhuli,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.1961191,85.899783,Male,Aug.18,01.08.18,2018,2019,Running,250000,100,,,,33,33,33,,757.5,7,31,38,2/25/2021,"Jeevan Devkota was enrolled in the Maoist army when he was just 16 and after almost 10 years of bloody rivalry, the armed struggle was ended and the process of reintegration into the society for these fighters began. After 10 year of reintegration process Jeevan partnered with some of his comrades, bought a Hydraulic machine and started a CSEB business. Jeevan runs the day to day operations and has done really well in a very short time.<br />
"
Khuraj Chaulagain,Kathmandu,Province 3 - Bagmati,Bagmati Province,Returning Migrant,27.76840014,85.36074687,Male,Mar.20,01.03.20,2020,2021,Running,15000,6,,,,,3,3,,45.45,4,9,13,2/27/2021,Khurraj Chaulagain is a very promising young entrepreneur. After returning from abroad he established his factory in Kathmandu because of the wide market. Khurraj has been able to expand to new areas in Kathmandu within a very short time and has been able to breaking even within 4 months of setting up and starting his production unit.
Ghanashyam Joshi,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Returning Migrant,28.68946053,80.61317959,Male,Jul.19,01.07.19,2019,2020,Running,40000,16,,,,,8,8,,121.2,7,8,15,2/21/2021,"Ghanshyam Returned from Korea and came to know about this business through his friends. He has done really well and with his marketing skills have been able to capture good market in Kailali area. He has also taken a lead in forming of the CSEB interlocking brick association in Province 7<br />
"
"Manju, Saraswati and Subhadra",Tanahu,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,27.9819198,84.2805478,Female,Jun.20,01.06.20,2020,2021,Running,48000,19,,,,,9.5,9.5,,145.44,4,17,21,2/26/2021,"Manju, Saraswati and Subhadra are from the same village in Tanahun and run a women cooperative. They decided to invest their profit in the interlocking brick business. All of them are working in the enterprise and hired two more people to help with more intensive labor. Apart from that, they have their women cooperative staffs who are working as active sales agent for their enterprises."
Manoj Thapa,Lalitpur,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6493323,85.3058664,Male,Apr.18,01.04.18,2018,2019,Running,70000,28,,,,9,9,9,,212.1,4,8,12,2/25/2021,Manoj Thapa learned about CSEB from a friend who used to work in Practical Action as a partner to Build up Nepal. He decided to focus on commercial Kathmandu and setup a hydraulic CSEB factory in the outskirts of Kathmandu. He has been doing impressive work and built several large city homes until date.
Maya Tamang,Chitwan,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.67404184,84.446981,Female,Dec.19,01.12.19,2019,2020,Closed / Sold,11500,5,,,,,5,,,34.845,4,7,11,2/26/2021,Maya Tamang is young and smart women entrepreneur with a background in farming. She has invested in CSEB interlocking bricks because she believes this is the best construction material to build low-cost houses and has a great market.
Karna Bahadur Tamang,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,28.003504,85.1337915,Male,Aug.17,01.08.17,2017,2018,Running,100000,40,,,10,10,10,10,,303,3,9,12,03.01.21,"Karna used to work as contractor in his municipality. he started CSEB factory with the support of Practical Action to help reconstruction of houses affected by earthquake at low cost. After completion of the most of the houses in his locality, he shifted his machine to city area where he is planning to add new machine."
Menuka Chaudhary,Nawalparasi,Province 5,Lumbini Province,Husband wife,27.5290526,83.6720756,Male & Female,Apr.19,01.04.19,2019,2020,Struggling,20000,8,,,,,4,4,,60.6,6,4,10,2/25/2021,"Menuka, 27 is a young women entrepreneur whose focus was to make her own house and decided to start the business as she saw an opportunity to start a business in her own backyard and make living out of it. Menuka runs this business full time and her husband who is a lawyer also supports her in book keeping and purchasing. They have a small son and therefor Menuka is very happy to be able to run a business nearby her own home. "
Milan BK,Banke,Province 5,Lumbini Province,DAG - Disadvantaged Groups,28.0451082,81.9554091,Male,Jun.18,01.06.18,2018,2019,Running,74300,25,,,,8,8,8,,225.129,8,14,22,03.01.21,
Nakha Bahadur Dhungana,Kavrepalanchok,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6277005,85.5380467,Male,Mar.19,01.03.19,2019,2020,Running,33000,13,,,,,6.5,6.5,,99.99,6,6,12,2/25/2021,"Nakha was running a block factory where he was visited by a Build Up Nepal representative. He decided to add CSEB to his existing business. Nakha is very focused on quality of bricks and is running his business with both CSEB and hollow concrete blocks. <br />
"
Paras and Jayraj Wod/ Mukesh BK,Bajura,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,29.3651358,81.3305171,Male,Oct.19,01.10.19,2019,2020,Struggling,35000,14,,,,,7,7,,106.05,,8,8,2/21/2021,"Paras was working as a marketing associate in India and Mukesh was working as a social mobiliser in an NGO in Kailali. Both of them partnered to start this business and with the support from Build Up Nepal, they flourished and were able to do really well. They say that they were able to return their investment in less than 5 months."
Pramila Shrestha,Myagdi,Province 4 - Gandaki,Gandaki Province,Female Entrepreneur,28.3660431,83.53797023,Female,Jun.19,01.06.19,2019,2020,Running,80000,32,,,,,16,16,,242.4,6,15,21,2/22/2021,Pramila wanted to start a small scale factory with low investment and thought CSEB had a big potential in her area. She is a very independent woman who have been able to achieve much in a short time. 
Prem Singh Dhami,Kailali,Province 7 - Sudurpashchim,Sudurpashchim Province,Entrepreneur,28.69287874,80.61794166,Male,Nov.19,01.11.19,2019,2020,Running,55000,22,,,,,11,11,,166.65,5,21,26,2/23/2021,"Prem Singh Dhami was working as a farmer. He came to know about this business from a friend and after consulting his son and wife, started this business in partnership. Later the partnership broke and Prem is now running the enterprise on his own. "
Raj Kumar Nepali,Dang Deokhuri,Province 5,Lumbini Province,Entrepreneur,27.7582627,82.5294065,Male,Jul.20,01.07.20,2020,2021,Running,15000,6,,,,,3,3,,45.45,4,9,13,03.03.21,"Raj Kumar33 year old Raj Kumar Nepali is young entrepreneur. He started hollow block factory in Gadhawa bazar 7 years ago. He found CSEB technology which is expanding rapidly in Western part of Nepal. During his research, he found CSEB technology is environment friendly, affordable, earthquake resistance, easy workability, durability and decided to expand his existing business into CSEB.  Nepali is young entrepreneur. He started hollow block factory in Gadhawa bazar before 7 years. He wants to expand his business which will relate to construction work, so he starts to work out on new business ideas.  Finally, he found CSEB technology which is expanding rapidly in Western part of Nepal. During her research, he found CSEB technology is environment friendly, affordable, earthquake resistance, easy workability, durability and so on.<br />
"
Raj Kumar Thing,Makwanpur,Province 3 - Bagmati,Bagmati Province,Returning Migrant,27.33352274,85.20283128,Male,Sep.19,01.09.19,2019,2020,Running,90000,36,,,,,18,18,,272.7,7,19,26,2/27/2021,Youth from Janajati community who wanted to start his own enterprise. He was working in Malaysia and contacted us from there with a plan to start his own enterprise. He planned everything from Malaysia itself and started immediately once he returned. Raj is planning to call back his brother as well to make him run the business and start this in more locations.
Ram Krishna Baskota,Dhading,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.7534852,85.2162641,Male,Oct.18,01.10.18,2018,2019,Running,18000,7,,,,2,2,2,,54.54,1,3,4,03.01.21,
Ravi Pratap Yadav,Rupandehi,Province 2,Madhesh Province,Entrepreneur,27.6865838,83.4322634,Male,Dec.19,01.12.19,2019,2020,Running,13000,5,,,,,2.5,2.5,,39.39,6,4,10,2/23/2021,"Ravi found out about CSEB from the socia media and decided to expand his already running construction business. After initially doing well in Butwal, Ravi wants to add another machine in his village in Dang."
Ravi Shankar Prasad,Bara,Province 2,Madhesh Province,Youth Entrepreneur,27.15728708,84.97948913,Male,Nov.19,01.11.19,2019,2020,Running,8000,3,,,,,1.5,1.5,,24.24,,2,2,2/25/2021,Ravi Shankar Prasad after graduating from the UK came back and took a job with a NGO in kathmandu before returing back to his hometown after his  father had a heart surgery to look after his family business of petrol pump and rice mill. He has expanded CSEB enterprise as he wanted to run a construction enterprise. Ravi's wife is a Dental surgeon and helps him in his business from time to time especially when he is out of town.
Ruken Maharjan,Lalitpur,Province 3 - Bagmati,Bagmati Province,Youth Entrepreneur,27.6388413,85.3420486,Male,Aug.19,01.08.19,2019,2020,Struggling,13000,5,,,,,2.5,2.5,,39.39,0,3,3,2/27/2021,Ruken Maharjan and three others started this after finding more about CSEB on varous social media groups. All of them were new in the business with no one working prior to this. Unfortunatly the partners do not share a common goal to take the company forward and they have decided to split up or sell the company.
Saraswoti BK,Dhading,Province 3 - Bagmati,Bagmati Province,Female Entrepreneur,27.79112662,84.81391431,Female,Nov.18,01.11.18,2018,2019,Running,63000,35,,,,12,12,12,,190.89,7,7,14,03.01.21,"Saraswati and her husband Amrit started this business after the demand for CSEB in the area hiked up and an NGO decided to make 45 houses for the most vulnerable using CSEB. Taking advantage of the market conditions, They invested in the business and got good returns. Amrit is responsible for marketing and Saraswati is looking after the operations. "
Kailash Rai/ Sarita Rai,Khotang,Province 1,Province No. 1,Husband wife,26.91,86.88,Male & Female,Nov.19,01.11.19,2019,2020,Closed / Sold,8000,3,,,,,3,,,24.24,,2,2,2/24/2021,"Kailash did very big Investment but strength of the produced bricks were not good, so he decided to take those bricks and give them as donation into various structures. He did not contact Build up Nepal about the problems and decided to close his enterprise. "
Shankar Kumar Shrestha,Nawalparasi,Province 5,Lumbini Province,Entrepreneur,27.5403988,83.7942551,Male,Dec.19,01.12.19,2019,2020,Running,35000,14,,,,,7,7,1,106.05,6,11,17,2/26/2021,"Shankar was already running hollow concrete block factory that he started in 2009 after returning from foreign employment. Since he had the infrastructure and the labor team ready, it was an easy decision for to start producing CSEB as well. His wife is a housewife and his son and daughter are still in school but the daughter does the book keeping for the business after school.<br />
"
Sukra Karki,Baglung,Province 4 - Gandaki,Gandaki Province,Returning Migrant,28.216667,83.416667,Male,Dec.18,01.12.18,2018,2019,Running,150000,60,,,,20,20,20,,454.5,12,22,34,2/25/2021,"Sukra Karki, a migrant returnee decided to buy a Hydraulic CSEB machine after consulting his uncle from Pokhara who was already running a CSEB business. "
Sukra Khadka,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.66963781,84.43614387,Male,Jan.19,01.01.19,2019,2020,Struggling,25000,6,,,,,3,3,,75.75,6,6,12,2/25/2021,
Suman Thapa,Dolakha,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.6693233,86.0427626,Male,Apr.18,01.04.18,2018,2019,Running,250000,100,,,,33,33,33,,757.5,5,27,32,2/27/2021,"Suman, an engineer by education but a businessman by profession runs a block factory and a hotel in Charikot. After buying a CSEB machine, he and his team have now shifted their focus mainly in CSEB construction after generating a very good demand in the area. Suman and Build up Nepal have managed to get district rates approved in his area from the local government. "
Ganga Rai / Surya Prasad Pokharel,Ilam,Province 1,Province No. 1,Entrepreneur,26.9332484,87.8255007,Male,Nov.18,01.11.18,2018,2019,Running,35000,14,,,,5,5,5,1,106.05,4,6,10,2/24/2021,"Ganga Rai was inspired after seeing interviews with other CSEB entrepreneurs online. He started this enterprise and in addition to his furniture business and is doing very well. ""This technology is Environment friendly, local employment opportunities can be created, with seeing this benefit the Municipality office also gave some support to the enterprise""<br />
"
Sushila Thapa,Surkhet,Province 6 - Karnali,Karnali Province,Female Entrepreneur,28.7916921,81.387844,Female,Oct.20,01.10.20,2020,2021,Running,120000,48,,,,,24,24,10,363.6,8,49,57,2/24/2021,"Sushila lives in a low income area and fired bricks are Expensive, Previously houses are built of woods now there is lack of wood. So she decided that CSEB bricks can be best technology for building houses in her location. She started this business with the goal to build a stable income for herself and her family. "
Nabin Darai,Chitwan,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.4129236,84.375233,Male,May.19,01.05.19,2019,2020,Running,25000,10,,,,,5,5,2,75.75,5,5,10,2/26/2021,"Nabin Darai, a young entrepreneur who was abroad for 5 years before returning and starting this business with his father Prem Darai. Like most father son duo, Prem looks after the production and Nabin does the marketing for the enterprise. Nabin also works in a chicken feed factory as a sales officer, so has to travel a lot and he combines his sales skills to market his bricks at the same time. They have a hydraulic machine and a well-designed factory with PAN mixer, and conveyor belt and can produce very efficiently. "
Tanu Maya & Simon Tamang,Nuwakot,Province 3 - Bagmati,Bagmati Province,Entrepreneur,27.9726433,85.1012477,Male,Dec.17,01.12.17,2017,2018,Running,200000,80,,,20,20,20,20,,606,9,19,28,03.01.21,"Simon is a regular contractor working in construction work. After the earthquake, with unavailability and increased prices of Fired Bricks, he started CSEB factory as an alternative material. he got supported from Practical Action at beginning to establish his factory and has been he is doing well since the very beginning."
